Date,Open,High,Low,Close,Adj Close,Volume
2011-06-16,61602.000000,62040.000000,60489.000000,60881.000000,60881.000000,1991000
2011-06-17,60883.000000,61268.000000,60566.000000,61060.000000,61060.000000,1974600
2011-06-20,61059.000000,61571.000000,60784.000000,61168.000000,61168.000000,2019800
2011-06-21,61188.000000,61543.000000,61179.000000,61424.000000,61424.000000,1696600
2011-06-22,61420.000000,61859.000000,61194.000000,61194.000000,61194.000000,1863400
2011-06-24,61192.000000,61459.000000,60921.000000,61017.000000,61017.000000,1449000
2011-06-27,61017.000000,61456.000000,60772.000000,61217.000000,61217.000000,1634000
2011-06-28,61216.000000,62309.000000,61216.000000,62303.000000,62303.000000,1796400
2011-06-29,62303.000000,62625.000000,62033.000000,62334.000000,62334.000000,1873400
2011-06-30,62337.000000,62574.000000,61959.000000,62404.000000,62404.000000,1814000
2011-07-01,62404.000000,63455.000000,62148.000000,63394.000000,63394.000000,2376200
2011-07-04,63397.000000,63891.000000,63314.000000,63891.000000,63891.000000,1000400
2011-07-05,63886.000000,63886.000000,63030.000000,63039.000000,63039.000000,1937800
2011-07-06,63039.000000,63039.000000,62391.000000,62565.000000,62565.000000,1612600
2011-07-07,62573.000000,63206.000000,62207.000000,62207.000000,62207.000000,1865000
2011-07-08,62207.000000,62207.000000,61366.000000,61513.000000,61513.000000,1670600
2011-07-11,61502.000000,61502.000000,60098.000000,60224.000000,60224.000000,1773200
2011-07-12,60220.000000,60516.000000,59705.000000,59705.000000,59705.000000,1946200
2011-07-13,59718.000000,60847.000000,59718.000000,60670.000000,60670.000000,2284200
2011-07-14,60673.000000,60685.000000,59452.000000,59679.000000,59679.000000,2363400
2011-07-15,59679.000000,60104.000000,59180.000000,59478.000000,59478.000000,1960200
2011-07-18,59479.000000,59479.000000,58631.000000,58838.000000,58838.000000,1956400
2011-07-19,58838.000000,59394.000000,58677.000000,59082.000000,59082.000000,1888000
2011-07-20,59094.000000,59552.000000,59045.000000,59120.000000,59120.000000,1946000
2011-07-21,59120.000000,60441.000000,59120.000000,60263.000000,60263.000000,2159600
2011-07-22,60263.000000,60696.000000,60077.000000,60270.000000,60270.000000,1809600
2011-07-25,60264.000000,60285.000000,59640.000000,59971.000000,59971.000000,1772400
2011-07-26,59972.000000,60204.000000,59261.000000,59340.000000,59340.000000,2174800
2011-07-27,59336.000000,59336.000000,58169.000000,58288.000000,58288.000000,2619000
2011-07-28,58297.000000,59167.000000,58290.000000,58708.000000,58708.000000,2234000
2011-07-29,58703.000000,58952.000000,58009.000000,58823.000000,58823.000000,2366400
2011-08-01,58823.000000,59542.000000,58168.000000,58536.000000,58536.000000,2109400
2011-08-02,58526.000000,58673.000000,57259.000000,57311.000000,57311.000000,2696200
2011-08-03,57318.000000,57352.000000,55249.000000,56017.000000,56017.000000,3491800
2011-08-04,55999.000000,55999.000000,52629.000000,52811.000000,52811.000000,4455400
2011-08-05,52811.000000,53866.000000,51153.000000,52949.000000,52949.000000,4320600
2011-08-08,52938.000000,52938.000000,47793.000000,48668.000000,48668.000000,4894600
2011-08-09,48671.000000,51151.000000,48666.000000,51151.000000,51151.000000,5268200
2011-08-10,51151.000000,52164.000000,49947.000000,51395.000000,51395.000000,4358800
2011-08-11,51398.000000,53724.000000,51398.000000,53343.000000,53343.000000,4066000
2011-08-12,53344.000000,53643.000000,52650.000000,53473.000000,53473.000000,3269800
2011-08-15,53478.000000,54968.000000,53474.000000,54652.000000,54652.000000,2540600
2011-08-16,54651.000000,54651.000000,53539.000000,54324.000000,54324.000000,2464600
2011-08-17,54324.000000,55073.000000,53828.000000,55073.000000,55073.000000,3160600
2011-08-18,55037.000000,55037.000000,52246.000000,53134.000000,53134.000000,3120400
2011-08-19,53135.000000,53601.000000,52336.000000,52448.000000,52448.000000,2577200
2011-08-22,52472.000000,53552.000000,52397.000000,52440.000000,52440.000000,2140800
2011-08-23,52440.000000,53787.000000,51853.000000,53787.000000,53787.000000,2679000
2011-08-24,53787.000000,54279.000000,52993.000000,53796.000000,53796.000000,2492200
2011-08-25,53796.000000,54155.000000,52677.000000,52953.000000,52953.000000,2381200
2011-08-26,52955.000000,53598.000000,51971.000000,53351.000000,53351.000000,2223000
